params,mean_accuracy
"{'neurons': 13, 'learning_rate': 0.001, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.2}",0.7132439017295837
"{'neurons': 13, 'learning_rate': 0.001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.2}",0.7122455437978109
"{'neurons': 13, 'learning_rate': 0.001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.0}",0.712102472782135
"{'neurons': 13, 'learning_rate': 0.01, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.2}",0.7115317583084106
"{'neurons': 13, 'learning_rate': 0.001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.2}",0.7113887468973795
"{'neurons': 13, 'learning_rate': 0.001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.0}",0.7111034790674845
"{'neurons': 13, 'learning_rate': 0.01, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.0}",0.710389773050944
"{'neurons': 13, 'learning_rate': 0.0001, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.0}",0.7101040283838908
"{'neurons': 13, 'learning_rate': 0.001, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.0}",0.7098187605539957
"{'neurons': 13, 'learning_rate': 0.01, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.0}",0.7096759875615438
"{'neurons': 13, 'learning_rate': 0.01, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.0}",0.7095338106155396
"{'neurons': 13, 'learning_rate': 0.001, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.2}",0.7095337907473246
"{'neurons': 13, 'learning_rate': 0.0001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.0}",0.7091061472892761
"{'neurons': 13, 'learning_rate': 0.01, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.2}",0.7086763381958008
"{'neurons': 13, 'learning_rate': 0.001, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.1, 'dropout': 0.2}",0.707534929116567
"{'neurons': 13, 'learning_rate': 0.1, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.0}",0.706821084022522
"{'neurons': 13, 'learning_rate': 0.0001, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.2}",0.706821084022522
"{'neurons': 13, 'learning_rate': 0.0001, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.0}",0.706679125626882
"{'neurons': 13, 'learning_rate': 0.1, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.0}",0.7065366307894388
"{'neurons': 13, 'learning_rate': 0.001, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.0}",0.7065365115801493
"{'neurons': 13, 'learning_rate': 0.01, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.0}",0.7059652407964071
"{'neurons': 13, 'learning_rate': 0.001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.1, 'dropout': 0.2}",0.7058222889900208
"{'neurons': 13, 'learning_rate': 0.001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.1, 'dropout': 0.0}",0.7056792378425598
"{'neurons': 13, 'learning_rate': 0.0001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.2}",0.7053934733072916
"{'neurons': 13, 'learning_rate': 0.001, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.1, 'dropout': 0.0}",0.7052510778109232
"{'neurons': 13, 'learning_rate': 0.0001, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.2}",0.7048235932985941
"{'neurons': 13, 'learning_rate': 0.0001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.0}",0.7036818067232767
"{'neurons': 13, 'learning_rate': 0.0001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.2}",0.7035383184750875
"{'neurons': 13, 'learning_rate': 0.1, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.2}",0.7031099398930868
"{'neurons': 13, 'learning_rate': 0.01, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.2}",0.7023961544036865
"{'neurons': 13, 'learning_rate': 0.01, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.2}",0.6998269955317179
