params,mean_accuracy
"{'neurons': 18, 'learning_rate': 0.01, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.0}",0.7541941404342651
"{'neurons': 18, 'learning_rate': 0.0001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.0}",0.7534600377082825
"{'neurons': 18, 'learning_rate': 0.001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.0}",0.7532501339912414
"{'neurons': 18, 'learning_rate': 0.01, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.0}",0.7531456470489502
"{'neurons': 18, 'learning_rate': 0.001, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.0}",0.7530405402183533
"{'neurons': 18, 'learning_rate': 0.0001, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.0}",0.7528308987617492
"{'neurons': 18, 'learning_rate': 0.001, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.2}",0.7527261853218079
"{'neurons': 18, 'learning_rate': 0.001, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.0}",0.7526211380958557
"{'neurons': 18, 'learning_rate': 0.001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.0}",0.7526210904121399
"{'neurons': 18, 'learning_rate': 0.01, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.2}",0.7526209950447083
"{'neurons': 18, 'learning_rate': 0.001, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.1, 'dropout': 0.0}",0.752411675453186
"{'neurons': 18, 'learning_rate': 0.01, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.0}",0.7524114370346069
"{'neurons': 18, 'learning_rate': 0.01, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.0}",0.75209721326828
"{'neurons': 18, 'learning_rate': 0.0001, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.0}",0.7519922256469727
"{'neurons': 18, 'learning_rate': 0.001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.1, 'dropout': 0.0}",0.7518873453140259
"{'neurons': 18, 'learning_rate': 0.001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.2}",0.7517821431159973
"{'neurons': 18, 'learning_rate': 0.0001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.0}",0.7515728235244751
"{'neurons': 18, 'learning_rate': 0.0001, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.1, 'dropout': 0.2}",0.7514678359031677
"{'neurons': 18, 'learning_rate': 0.001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.2}",0.7512582302093506
"{'neurons': 18, 'learning_rate': 0.0001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.2}",0.7512579083442688
"{'neurons': 18, 'learning_rate': 0.001, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.1, 'dropout': 0.2}",0.7510483264923096
"{'neurons': 18, 'learning_rate': 0.0001, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.1, 'dropout': 0.0}",0.7509434461593628
"{'neurons': 18, 'learning_rate': 0.0001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.1, 'dropout': 0.2}",0.750943398475647
"{'neurons': 18, 'learning_rate': 0.01, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.2}",0.7508386254310608
"{'neurons': 18, 'learning_rate': 0.01, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.2}",0.7506289720535279
"{'neurons': 18, 'learning_rate': 0.0001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.1, 'dropout': 0.0}",0.7506288170814515
"{'neurons': 18, 'learning_rate': 0.0001, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.2}",0.7505240082740784
"{'neurons': 18, 'learning_rate': 0.001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.1, 'dropout': 0.2}",0.7503142952919006
"{'neurons': 18, 'learning_rate': 0.0001, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.2}",0.7501047492027283
"{'neurons': 18, 'learning_rate': 0.0001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.2}",0.7496851921081543
"{'neurons': 18, 'learning_rate': 0.001, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.2}",0.7496850967407227
"{'neurons': 18, 'learning_rate': 0.01, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.1, 'dropout': 0.0}",0.7492653131484985
"{'neurons': 18, 'learning_rate': 0.01, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.2}",0.7491607069969177
"{'neurons': 18, 'learning_rate': 0.01, 'batch_size': 32, 'epochs': 100, 'l2_reg': 0.1, 'dropout': 0.0}",0.7489511847496033
